# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001400   ---        --------
               6   N   00001400   0000e101   00001404   x10_a0     00000000
               7   N   00001404   00004e01   00001406   ---        --------
               8   N   00001406   fffff297   00001408   x28_t3     00000000
               9   N   00001408   73828293   0000140c   x05_t0     00000408
              10   N   0000140c   30529073   00001410   x05_t0     00000b40
              11   N   00001410   00004505   00001414   ---        --------
              12   N   00001414   0000057e   00001416   x10_a0     00000001
              13   N   00001416   00054863   00001418   x10_a0     80000000
              14   N   00001418   0ff0000f   00001428   ---        --------
              17   N   00001428   00028f63   0000142c   x05_t0     00000000
              18   N   0000142c   10529073   0000144a   ---        --------
              22   N   0000144a   00006509   0000144e   ---        --------
              23   N   0000144e   00006509   0000144e   ---        --------
              24   N   0000144e   80050513   00001450   x10_a0     00002000
              25   N   00001450   30052073   00001454   x10_a0     00001800
              26   N   00001454   00000297   00001458   ---        --------
              27   N   00001458   00000297   00001458   ---        --------
              28   N   00001458   03428293   0000145c   x05_t0     00001458
              29   N   0000145c   34129073   00001460   x05_t0     0000148c
              30   N   00001460   f1402573   00001464   ---        --------
              31   N   00001464   30200073   00001468   x10_a0     00000000
              33   N   00001468   00000000   0000148c   ---        --------
              36   N   0000148c   00009002   0000148e   x28_t3     00000002
              37   E   0000148e   0000a019   00000b40   mstatus    00001800
              37   E   0000148e   0000a019   00000b40   mepc       0000148e
              37   E   0000148e   0000a019   00000b40   mcause     00000003
              37   E   0000148e   0000a019   00000b40   mtval      00000000
              40   N   00000b40   0000478d   00000b44   x14_a4     00000003
              41   N   00000b44   f0000837   00000b46   x15_a5     00000003
              42   N   00000b46   478d1897   00000b4a   x16_a6     f0000000
              44   N   00000b4a   f0008893   00000b4e   x17_a7     00001b4a
              46   N   00000b4e   00008783   00000b52   x17_a7     00001480
              49   N   00000b52   0000c791   00000b56   x15_a5     00000042
              50   N   00000b56   00f82023   00000b58   ---        --------
              52   N   00000b58   00000885   00000b5c   ---        --------
              53   N   00000b5c   ff5ff06f   00000b5e   x17_a7     00001481
              54   N   00000b5e   08851717   00000b52   ---        --------
              59   N   00000b52   0000c791   00000b56   x15_a5     00000072
              60   N   00000b56   00f82023   00000b58   ---        --------
              62   N   00000b58   00000885   00000b5c   ---        --------
              63   N   00000b5c   ff5ff06f   00000b5e   x17_a7     00001482
              64   N   00000b5e   08851717   00000b52   ---        --------
              69   N   00000b52   0000c791   00000b56   x15_a5     00000065
              70   N   00000b56   00f82023   00000b58   ---        --------
              72   N   00000b58   00000885   00000b5c   ---        --------
              73   N   00000b5c   ff5ff06f   00000b5e   x17_a7     00001483
              74   N   00000b5e   08851717   00000b52   ---        --------
              79   N   00000b52   0000c791   00000b56   x15_a5     00000061
              80   N   00000b56   00f82023   00000b58   ---        --------
              82   N   00000b58   00000885   00000b5c   ---        --------
              83   N   00000b5c   ff5ff06f   00000b5e   x17_a7     00001484
              84   N   00000b5e   08851717   00000b52   ---        --------
              89   N   00000b52   0000c791   00000b56   x15_a5     0000006b
              90   N   00000b56   00f82023   00000b58   ---        --------
              92   N   00000b58   00000885   00000b5c   ---        --------
              93   N   00000b5c   ff5ff06f   00000b5e   x17_a7     00001485
              94   N   00000b5e   08851717   00000b52   ---        --------
              99   N   00000b52   0000c791   00000b56   x15_a5     00000020
             100   N   00000b56   00f82023   00000b58   ---        --------
             102   N   00000b58   00000885   00000b5c   ---        --------
             103   N   00000b5c   ff5ff06f   00000b5e   x17_a7     00001486
             104   N   00000b5e   08851717   00000b52   ---        --------
             109   N   00000b52   0000c791   00000b56   x15_a5     00000070
             110   N   00000b56   00f82023   00000b58   ---        --------
             112   N   00000b58   00000885   00000b5c   ---        --------
             113   N   00000b5c   ff5ff06f   00000b5e   x17_a7     00001487
             114   N   00000b5e   08851717   00000b52   ---        --------
             119   N   00000b52   0000c791   00000b56   x15_a5     0000006f
             120   N   00000b56   00f82023   00000b58   ---        --------
             122   N   00000b58   00000885   00000b5c   ---        --------
